lookback_period,buy_threshold_percentage,sell_threshold_percentage,cooldown_period,apy_percentage,max_drawdown_percentage,sharpe_ratio,trade_count,won_count,lost_count,won_rate,lost_rate,profit_factor
21,10,11,7,-30.95174345350138,86.55086491120973,-1.0828080613227014,449,181,268,40.31180400890869,59.68819599109132,0.8194710614478679
21,10,11,10,-41.43398038811677,93.92249244441382,-1.7118981710651369,449,182,267,40.53452115812918,59.46547884187082,0.7436999639413628
21,10,11,13,-42.177840004281755,94.83267743614635,-1.696072877424505,453,184,269,40.618101545253865,59.38189845474614,0.7581518485695307
21,10,11,16,-38.478815373931226,93.15145726182888,-1.105012703741444,458,199,259,43.44978165938865,56.55021834061136,0.7856016276725203
21,10,14,1,-22.801823250890834,83.68731179498828,-0.4078474700140326,443,185,258,41.760722347629795,58.239277652370205,0.8836766800548232
21,10,14,4,-22.947760792236924,84.97887692218941,-0.26444691883125204,453,190,263,41.94260485651214,58.05739514348785,0.889454541652286
21,10,14,7,-30.95174345350138,86.55086491120973,-1.0828080613227014,449,181,268,40.31180400890869,59.68819599109132,0.8194710614478679
21,10,14,10,-41.43398038811677,93.92249244441382,-1.7118981710651369,449,182,267,40.53452115812918,59.46547884187082,0.7436999639413628
21,10,14,13,-42.177840004281755,94.83267743614635,-1.696072877424505,453,184,269,40.618101545253865,59.38189845474614,0.7581518485695307
21,10,14,16,-38.478815373931226,93.15145726182888,-1.105012703741444,458,199,259,43.44978165938865,56.55021834061136,0.7856016276725203
21,10,17,1,-22.801823250890834,83.68731179498828,-0.4078474700140326,443,185,258,41.760722347629795,58.239277652370205,0.8836766800548232
21,10,17,4,-22.947760792236924,84.97887692218941,-0.26444691883125204,453,190,263,41.94260485651214,58.05739514348785,0.889454541652286
21,10,17,7,-30.95174345350138,86.55086491120973,-1.0828080613227014,449,181,268,40.31180400890869,59.68819599109132,0.8194710614478679
21,10,17,10,-41.43398038811677,93.92249244441382,-1.7118981710651369,449,182,267,40.53452115812918,59.46547884187082,0.7436999639413628
21,10,17,13,-42.177840004281755,94.83267743614635,-1.696072877424505,453,184,269,40.618101545253865,59.38189845474614,0.7581518485695307
21,10,17,16,-38.478815373931226,93.15145726182888,-1.105012703741444,458,199,259,43.44978165938865,56.55021834061136,0.7856016276725203
21,10,20,1,-22.801823250890834,83.68731179498828,-0.4078474700140326,443,185,258,41.760722347629795,58.239277652370205,0.8836766800548232
21,10,20,4,-22.947760792236924,84.97887692218941,-0.26444691883125204,453,190,263,41.94260485651214,58.05739514348785,0.889454541652286
21,10,20,7,-30.95174345350138,86.55086491120973,-1.0828080613227014,449,181,268,40.31180400890869,59.68819599109132,0.8194710614478679
21,10,20,10,-41.43398038811677,93.92249244441382,-1.7118981710651369,449,182,267,40.53452115812918,59.46547884187082,0.7436999639413628
21,10,20,13,-42.177840004281755,94.83267743614635,-1.696072877424505,453,184,269,40.618101545253865,59.38189845474614,0.7581518485695307
21,10,20,16,-38.478815373931226,93.15145726182888,-1.105012703741444,458,199,259,43.44978165938865,56.55021834061136,0.7856016276725203
21,12,5,1,-31.615367633065354,89.18177348010329,-1.1240854127548128,444,184,260,41.44144144144144,58.55855855855856,0.819502654969103
21,12,5,4,-24.11104704136358,84.49956528406125,-0.38587919731949816,452,189,263,41.8141592920354,58.1858407079646,0.878964202285323
21,12,5,7,-27.489521370705766,85.93977657728269,-0.6875567585510461,449,183,266,40.75723830734967,59.24276169265033,0.8505266115486185
21,12,5,10,-37.19914677411641,92.85111943791954,-1.5107972221085522,449,187,262,41.648106904231625,58.35189309576837,0.7868270829057625
21,12,5,13,-41.56449760420417,95.07467002879932,-1.825960522638615,453,187,266,41.280353200883,58.719646799117,0.7843290154172783
21,12,5,16,-37.680400594657414,93.79113089427149,-1.056303067306771,454,199,255,43.83259911894273,56.167400881057276,0.8071816548925833
21,12,8,1,-31.615367633065354,89.18177348010329,-1.1240854127548128,444,184,260,41.44144144144144,58.55855855855856,0.819502654969103
21,12,8,4,-24.11104704136358,84.49956528406125,-0.38587919731949816,452,189,263,41.8141592920354,58.1858407079646,0.878964202285323
21,12,8,7,-27.489521370705766,85.93977657728269,-0.6875567585510461,449,183,266,40.75723830734967,59.24276169265033,0.8505266115486185
21,12,8,10,-37.19914677411641,92.85111943791954,-1.5107972221085522,449,187,262,41.648106904231625,58.35189309576837,0.7868270829057625
21,12,8,13,-41.56449760420417,95.07467002879932,-1.825960522638615,453,187,266,41.280353200883,58.719646799117,0.7843290154172783
21,12,8,16,-37.680400594657414,93.79113089427149,-1.056303067306771,454,199,255,43.83259911894273,56.167400881057276,0.8071816548925833
21,12,11,1,-31.615367633065354,89.18177348010329,-1.1240854127548128,444,184,260,41.44144144144144,58.55855855855856,0.819502654969103
21,12,11,4,-24.11104704136358,84.49956528406125,-0.38587919731949816,452,189,263,41.8141592920354,58.1858407079646,0.878964202285323
21,12,11,7,-27.489521370705766,85.93977657728269,-0.6875567585510461,449,183,266,40.75723830734967,59.24276169265033,0.8505266115486185
21,12,11,10,-37.19914677411641,92.85111943791954,-1.5107972221085522,449,187,262,41.648106904231625,58.35189309576837,0.7868270829057625
21,12,11,13,-41.56449760420417,95.07467002879932,-1.825960522638615,453,187,266,41.280353200883,58.719646799117,0.7843290154172783
21,12,11,16,-37.680400594657414,93.79113089427149,-1.056303067306771,454,199,255,43.83259911894273,56.167400881057276,0.8071816548925833
21,12,14,1,-31.615367633065354,89.18177348010329,-1.1240854127548128,444,184,260,41.44144144144144,58.55855855855856,0.819502654969103
21,12,14,4,-24.11104704136358,84.49956528406125,-0.38587919731949816,452,189,263,41.8141592920354,58.1858407079646,0.878964202285323
